year,club,titles,rank,color1,color2,titlesChar
1988,Real Sociedad,2,6,#0067b1,#000000, 2
1988,Sevilla,1,8,#f43333,#000000, 1
1988,Atlético Madrid,8,3,#CB3524,#000000, 8
1988,Real Madrid,23,1,#FEBE10,#000000, 23
1988,Barcelona,10,2,#004c99,#000000, 10
1988,Athletic Bilbao,8,4,#ee2523,#000000, 8
1988,Real Betis,1,7,#0BB363,#000000, 1
1988,Valencia,4,5,#ee3524,#000000, 4
1989,Real Sociedad,2,6,#0067b1,#000000, 2
1989,Sevilla,1,8,#f43333,#000000, 1
1989,Atlético Madrid,8,3,#CB3524,#000000, 8
1989,Real Madrid,24,1,#FEBE10,#000000, 24
1989,Barcelona,10,2,#004c99,#000000, 10
1989,Athletic Bilbao,8,4,#ee2523,#000000, 8
1989,Real Betis,1,7,#0BB363,#000000, 1
1989,Valencia,4,5,#ee3524,#000000, 4
1990,Real Sociedad,2,6,#0067b1,#000000, 2
1990,Sevilla,1,8,#f43333,#000000, 1
1990,Atlético Madrid,8,3,#CB3524,#000000, 8
1990,Real Madrid,25,1,#FEBE10,#000000, 25
1990,Barcelona,10,2,#004c99,#000000, 10
1990,Athletic Bilbao,8,4,#ee2523,#000000, 8
1990,Real Betis,1,7,#0BB363,#000000, 1
1990,Valencia,4,5,#ee3524,#000000, 4
1991,Real Sociedad,2,6,#0067b1,#000000, 2
1991,Sevilla,1,8,#f43333,#000000, 1
1991,Atlético Madrid,8,3,#CB3524,#000000, 8
1991,Real Madrid,25,1,#FEBE10,#000000, 25
1991,Barcelona,11,2,#004c99,#000000, 11
1991,Athletic Bilbao,8,4,#ee2523,#000000, 8
1991,Real Betis,1,7,#0BB363,#000000, 1
1991,Valencia,4,5,#ee3524,#000000, 4
1992,Real Sociedad,2,6,#0067b1,#000000, 2
1992,Sevilla,1,8,#f43333,#000000, 1
1992,Atlético Madrid,8,3,#CB3524,#000000, 8
1992,Real Madrid,25,1,#FEBE10,#000000, 25
1992,Barcelona,12,2,#004c99,#000000, 12
1992,Athletic Bilbao,8,4,#ee2523,#000000, 8
1992,Real Betis,1,7,#0BB363,#000000, 1
1992,Valencia,4,5,#ee3524,#000000, 4
1993,Real Sociedad,2,6,#0067b1,#000000, 2
1993,Sevilla,1,8,#f43333,#000000, 1
1993,Atlético Madrid,8,3,#CB3524,#000000, 8
1993,Real Madrid,25,1,#FEBE10,#000000, 25
1993,Barcelona,13,2,#004c99,#000000, 13
